Component ID,Batch,24h Leakage (µA),Allowed Limit (µA),Change from 0h to 24h (µA),Status,Why?,Suggested Action
MLCC_C002531,MLCC_B021,0.0231,0.12,-0.0043,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002533,MLCC_B051,0.0991,0.7,0.0128,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002535,MLCC_B003,0.0612,0.7,-0.0116,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002536,MLCC_B051,0.3003,0.7,0.2114,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002537,MLCC_B016,0.0968,1.3,-0.0267,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002541,MLCC_B057,0.2349,1.3,-0.0331,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002542,MLCC_B014,0.0525,0.12,0.0407,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002544,MLCC_B021,0.0136,0.12,-0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002545,MLCC_B014,0.0178,0.12,0.0025,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002546,MLCC_B037,0.036,0.25,-0.0067,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002548,MLCC_B033,0.0188,0.25,-0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002549,MLCC_B037,0.0279,0.25,0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002550,MLCC_B047,0.1503,1.3,-0.0088,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002552,MLCC_B012,0.2191,1.3,-0.0135,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002553,MLCC_B016,0.2092,1.3,0.0081,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002555,MLCC_B042,0.1702,1.3,0.0396,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002556,MLCC_B042,0.2323,1.3,-0.0428,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002557,MLCC_B014,0.0159,0.12,0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002558,MLCC_B022,0.1313,0.7,-0.0036,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002559,MLCC_B049,0.0335,0.25,-0.0028,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002563,MLCC_B044,0.023,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002564,MLCC_B005,0.0633,0.7,-0.0113,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002565,MLCC_B057,0.1592,1.3,0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002567,MLCC_B039,0.0139,0.12,0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002568,MLCC_B010,0.0691,0.7,-0.0093,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002569,MLCC_B044,0.012,0.12,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002571,MLCC_B051,0.3866,0.7,0.235,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002572,MLCC_B058,0.2292,1.3,0.0922,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002573,MLCC_B013,0.0647,0.7,-0.0093,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002574,MLCC_B049,0.0322,0.25,-0.001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002575,MLCC_B010,0.2667,0.7,0.1959,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002576,MLCC_B009,0.0113,0.12,-0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002577,MLCC_B011,0.0113,0.12,-0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002580,MLCC_B042,0.1011,1.3,-0.0062,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002581,MLCC_B009,0.0166,0.12,-0.0005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002582,MLCC_B058,0.0914,1.3,-0.0203,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002586,MLCC_B046,0.0196,0.12,-0.0029,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002588,MLCC_B058,0.1306,1.3,-0.0122,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002590,MLCC_B050,0.0319,0.25,-0.0049,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002591,MLCC_B016,0.0959,1.3,0.0,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002592,MLCC_B033,0.0384,0.25,-0.0116,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002593,MLCC_B043,0.0645,0.25,0.0278,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002596,MLCC_B016,0.1219,1.3,-0.0136,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002598,MLCC_B028,0.1522,1.3,-0.0166,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002600,MLCC_B013,0.0781,0.7,-0.0078,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002601,MLCC_B016,0.4188,1.3,0.2657,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002603,MLCC_B047,0.1921,1.3,0.011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002604,MLCC_B037,0.0375,0.25,-0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002605,MLCC_B009,0.0109,0.12,-0.001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002606,MLCC_B057,0.1032,1.3,-0.01,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002607,MLCC_B027,0.0572,0.25,-0.0084,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002609,MLCC_B028,0.3514,1.3,0.086,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002610,MLCC_B037,0.0222,0.25,-0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002611,MLCC_B009,0.0114,0.12,-0.0007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002612,MLCC_B051,0.3415,0.7,0.176,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002613,MLCC_B010,0.0452,0.7,-0.0023,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002616,MLCC_B044,0.0112,0.12,-0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002619,MLCC_B025,0.0651,1.3,-0.0103,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002620,MLCC_B039,0.0118,0.12,-0.0043,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002621,MLCC_B010,0.1017,0.7,-0.0136,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002625,MLCC_B049,0.0327,0.25,-0.0026,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002627,MLCC_B044,0.0184,0.12,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002628,MLCC_B033,0.0288,0.25,-0.001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002629,MLCC_B003,0.0878,0.7,0.0023,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002630,MLCC_B042,0.1469,1.3,-0.0212,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002631,MLCC_B007,0.0331,0.25,0.0107,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002633,MLCC_B009,0.0213,0.12,-0.0034,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002634,MLCC_B033,0.0171,0.25,-0.0019,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002635,MLCC_B008,0.0717,0.7,-0.0079,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002638,MLCC_B013,0.0654,0.7,-0.0094,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002640,MLCC_B024,0.0557,0.25,-0.0132,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002641,MLCC_B009,0.0128,0.12,-0.0012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002642,MLCC_B009,0.0182,0.12,-0.0047,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002644,MLCC_B016,0.1593,1.3,-0.0171,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002645,MLCC_B028,0.3201,1.3,0.1,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002646,MLCC_B010,0.0678,0.7,-0.008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002647,MLCC_B050,0.0299,0.25,-0.0001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002649,MLCC_B009,0.0137,0.12,-0.0,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002650,MLCC_B025,0.2587,1.3,-0.0296,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002651,MLCC_B015,0.0205,0.12,-0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002652,MLCC_B039,0.0105,0.12,0.0007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002654,MLCC_B009,0.0156,0.12,0.0012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002655,MLCC_B043,0.0249,0.25,0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002656,MLCC_B036,0.0813,1.3,-0.0076,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002657,MLCC_B042,0.1862,1.3,-0.0285,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002658,MLCC_B015,0.0276,0.12,-0.002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002660,MLCC_B047,0.1182,1.3,-0.0035,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002661,MLCC_B033,0.0138,0.25,-0.0011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002662,MLCC_B009,0.0257,0.12,0.0028,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002664,MLCC_B014,0.0136,0.12,0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002666,MLCC_B014,0.0088,0.12,-0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002667,MLCC_B053,0.1102,0.7,-0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002668,MLCC_B007,0.0223,0.25,-0.0034,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002669,MLCC_B041,0.0086,0.12,-0.0023,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002671,MLCC_B036,0.1908,1.3,-0.0253,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002672,MLCC_B050,0.0347,0.25,-0.0082,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002674,MLCC_B021,0.0176,0.12,0.006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002675,MLCC_B057,0.1407,1.3,-0.0423,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002676,MLCC_B010,0.1823,0.7,0.0925,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002677,MLCC_B014,0.0096,0.12,-0.001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002679,MLCC_B013,0.1013,0.7,-0.0105,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002682,MLCC_B049,0.0329,0.25,-0.0047,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002686,MLCC_B049,0.0444,0.25,0.0016,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002688,MLCC_B003,0.0632,0.7,0.0028,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002689,MLCC_B015,0.0253,0.12,-0.0031,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002691,MLCC_B010,0.0663,0.7,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002695,MLCC_B015,0.013,0.12,-0.0016,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002697,MLCC_B003,0.0969,0.7,-0.0218,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002702,MLCC_B039,0.0305,0.12,-0.0007,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002703,MLCC_B028,0.1941,1.3,-0.0383,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002705,MLCC_B008,0.0569,0.7,-0.0019,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002706,MLCC_B010,0.0593,0.7,-0.0058,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002707,MLCC_B050,0.0303,0.25,-0.0045,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002709,MLCC_B033,0.0206,0.25,-0.0046,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002712,MLCC_B050,0.0577,0.25,-0.0024,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002714,MLCC_B024,0.0418,0.25,-0.0081,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002716,MLCC_B043,0.0277,0.25,-0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002717,MLCC_B007,0.0326,0.25,-0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002718,MLCC_B028,0.1683,1.3,-0.0228,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002719,MLCC_B028,0.1531,1.3,-0.0147,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002720,MLCC_B007,0.0443,0.25,-0.0066,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002723,MLCC_B005,0.0879,0.7,0.0037,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002724,MLCC_B005,0.1277,0.7,-0.0189,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002725,MLCC_B053,0.0547,0.7,-0.0061,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002729,MLCC_B007,0.0221,0.25,0.0001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002730,MLCC_B033,0.0384,0.25,-0.0016,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002732,MLCC_B053,0.0927,0.7,-0.0107,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002733,MLCC_B027,0.0292,0.25,-0.001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002735,MLCC_B027,0.0409,0.25,0.0133,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002738,MLCC_B057,0.1335,1.3,0.0053,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002739,MLCC_B005,0.0559,0.7,0.0044,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002740,MLCC_B024,0.0335,0.25,-0.006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002742,MLCC_B024,0.0428,0.25,-0.0037,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002743,MLCC_B005,0.1045,0.7,-0.0138,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002744,MLCC_B044,0.016,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002746,MLCC_B036,0.1375,1.3,0.0056,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002747,MLCC_B014,0.0108,0.12,-0.002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002748,MLCC_B051,0.1195,0.7,-0.0025,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002750,MLCC_B012,0.1277,1.3,-0.0129,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002753,MLCC_B045,0.0387,0.25,-0.014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002755,MLCC_B047,0.1174,1.3,0.0017,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002756,MLCC_B043,0.0425,0.25,0.012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002758,MLCC_B043,0.0201,0.25,0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002760,MLCC_B043,0.3008,0.25,0.0113,ABOVE LIMIT,"24h leakage is 0.3008 µA, above the allowed limit of 0.2500 µA.",CHECK / RETEST
MLCC_C002761,MLCC_B007,0.0359,0.25,-0.0061,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002762,MLCC_B041,0.0138,0.12,-0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002765,MLCC_B049,0.0379,0.25,-0.0033,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002766,MLCC_B058,0.1366,1.3,-0.0104,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002767,MLCC_B049,0.0466,0.25,0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002768,MLCC_B027,0.0331,0.25,-0.0045,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002769,MLCC_B003,0.0683,0.7,-0.0158,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002772,MLCC_B042,1.058,1.3,0.9388,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002775,MLCC_B042,0.1347,1.3,0.0027,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002776,MLCC_B050,0.0195,0.25,-0.0021,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002779,MLCC_B007,0.0334,0.25,-0.0058,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002780,MLCC_B008,0.0868,0.7,0.0058,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002781,MLCC_B022,0.0942,0.7,-0.0034,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002783,MLCC_B041,0.0157,0.12,-0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002784,MLCC_B037,0.027,0.25,-0.0024,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002785,MLCC_B014,0.0196,0.12,-0.0019,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002787,MLCC_B053,0.0785,0.7,-0.0037,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002788,MLCC_B044,0.0189,0.12,-0.0008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002789,MLCC_B036,0.1356,1.3,-0.0578,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002790,MLCC_B028,0.1381,1.3,-0.0031,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002791,MLCC_B014,0.0121,0.12,-0.0021,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002792,MLCC_B024,0.0327,0.25,-0.0029,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002793,MLCC_B009,0.0136,0.12,-0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002794,MLCC_B033,0.0201,0.25,0.0001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002795,MLCC_B008,0.1162,0.7,0.0138,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002796,MLCC_B047,0.151,1.3,-0.0382,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002797,MLCC_B010,0.0677,0.7,-0.0114,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002800,MLCC_B011,0.0196,0.12,-0.0027,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002803,MLCC_B044,0.0151,0.12,-0.0024,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002804,MLCC_B008,0.1086,0.7,-0.0064,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002807,MLCC_B016,1.152,1.3,1.0252,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C002809,MLCC_B013,0.0688,0.7,-0.0345,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002813,MLCC_B037,0.0229,0.25,-0.0032,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002814,MLCC_B047,0.21,1.3,0.0579,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002815,MLCC_B022,0.0999,0.7,-0.0061,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002816,MLCC_B027,0.0554,0.25,0.0214,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002817,MLCC_B050,0.0344,0.25,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002818,MLCC_B021,0.014,0.12,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002819,MLCC_B046,0.0207,0.12,-0.0024,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002820,MLCC_B054,0.0804,0.7,0.003,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C002821,MLCC_B051,0.0837,0.7,-0.0112,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
